method,n,d_x,d_z,seed,status,time_sec,mem_mb,n_ci_tests,n_l0_calls,precision,recall_resolved,recall_overall,f1,accuracy,coverage,tp,fp,fn,tn,unresolved_frac,shd_full,shd_resolved,n_resolved,error_msg
cbl,1024,15,10,103,ok,195.968000000001,361,483400,44400,0.741935483870968,0.348484848484849,0.261363636363636,0.474226804123711,0.378048780487805,0.780952380952381,23,8,43,8,0.219047619047619,14,14,104,
cbl,1024,15,10,104,ok,202.75,385,512600,46800,0.714285714285714,0.319148936170213,0.208333333333333,0.441176470588235,0.512820512820513,0.742857142857143,15,6,32,25,0.257142857142857,32,25,97,
cbl,1024,15,10,105,ok,218.457999999999,625,537200,48800,0.638888888888889,0.410714285714286,0.280487804878049,0.5,0.386666666666667,0.714285714285714,23,13,33,6,0.285714285714286,22,20,101,
ascend,1024,20,10,101,ok,13.5290000000023,312,4568,,0.793103448275862,0.661870503597122,0.661870503597122,0.721568627450981,0.626315789473684,1,92,24,47,27,0,51,51,190,
ascend,1024,20,10,102,ok,12.3290000000015,463,4170,,0.825,0.452054794520548,0.448979591836735,0.584070796460177,0.502645502645503,0.994736842105263,66,14,80,29,0.00526315789473684,68,68,190,
ascend,1024,20,10,103,ok,14.456000000002,469,4639,,0.860869565217391,0.678082191780822,0.678082191780822,0.758620689655172,0.668421052631579,1,99,16,47,28,0,42,42,190,
ascend,1024,20,10,104,ok,15.8450000000012,454,5091,,0.891089108910891,0.592105263157895,0.592105263157895,0.711462450592885,0.615789473684211,1,90,11,62,27,0,44,44,190,
ascend,1024,20,10,105,ok,13.4150000000009,463,4328,,0.833333333333333,0.691056910569106,0.691056910569106,0.755555555555556,0.710526315789474,1,85,17,38,50,0,53,53,190,
cbl,1024,20,10,101,timeout,3601.323,1979,213156,19996,,,,,,,,,,,,,,,"task 10 failed - ""reached elapsed time limit"" [cpu=3600s, elapsed=3600s]"
cbl,1024,20,10,102,ok,395.298000000003,788,936400,86400,0.882352941176471,0.208333333333333,0.102040816326531,0.337078651685393,0.438095238095238,0.552631578947369,15,2,57,31,0.447368421052632,102,50,131,
cbl,1024,20,10,103,ok,339.973999999998,540,839800,76400,0.78030303030303,0.76865671641791,0.705479452054795,0.774436090225564,0.657142857142857,0.921052631578947,103,29,31,12,0.0789473684210526,42,42,190,
cbl,1024,20,10,104,timeout,3600.241,1580,519189,47999,,,,,,,,,,,,,,,"task 48 failed - ""reached elapsed time limit"" [cpu=3600s, elapsed=3600s]"
